name,Population
China,1389300000
India,1328070000
United States,326649000
Indonesia,261890900
Pakistan,210630000
Brazil,208677000
Nigeria,193392500
Bangladesh,164017000
Russia,146877088
Japan,126590000
Mexico,123982528
Philippines,105456000
Egypt,96520700
Ethiopia,94352000
Vietnam,93700000
Germany,82521653
Democratic Republic of the Congo,81339900
Iran,81219400
Turkey,80810525
France,67201000
Thailand,66061000
United Kingdom,65648000
Italy,60498707
South Africa,56717000
Myanmar,53370609
Tanzania,51557365
South Korea,51446201
Kenya,49699862
Colombia,49636300
Spain,46549045
Argentina,44044811
Ukraine,42403027
Algeria,41697498
Sudan,40782742
Poland,38422346
Iraq,38274618
Uganda,37673800
Canada,37021500
Morocco,34584600
Saudi Arabia,32612641
Malaysia,32409500
Uzbekistan,32345000
Peru,31826018
Venezuela,31431164
Afghanistan,29724323
Ghana,28956587
Mozambique,28861863
Nepal,28825709
Angola,28359634
Yemen,28250000
Madagascar,25571000
North Korea,25491000
Australia,24815400
Ivory Coast,24294750
Taiwan,23572049
Cameroon,23248044
Sri Lanka,21444000
Niger,20651070
Romania,19638000
Burkina Faso,19632147
Mali,18542000
Syria,18270000
Kazakhstan,18157100
Chile,17574003
Malawi,17373185
Netherlands,17197600
Ecuador,16933600
Zambia,16405229
Guatemala,16176133
Cambodia,15848495
Senegal,15726037
Chad,14900000
Somalia,14742523
Zimbabwe,14542235
South Sudan,11868209
Rwanda,11809300
Guinea,11702692
Tunisia,11446300
Belgium,11399335
Cuba,11239224
Bolivia,11145770
Benin,11002578
Haiti,10911819
Greece,10768193
Czech Republic,10597473
Burundi,10400938
Portugal,10309573
Dominican Republic,10169172
Sweden,10112669
Jordan,10075970
Azerbaijan,9867250
Hungary,9797561
Belarus,9491900
United Arab Emirates,9400000
Tajikistan,8931000
Honduras,8866351
Austria,8823054
Israel,8818740
Switzerland,8465234
Papua New Guinea,8151300
Hong Kong,7389500
Togo,7178000
Bulgaria,7101859
Sierra Leone,7092113
Paraguay,7052983
Serbia,7040272
El Salvador,6581940
Laos,6492400
Libya,6374616
Nicaragua,6305956
Kyrgyzstan,6140200
Lebanon,6082000
Denmark,5781190
Turkmenistan,5758000
Singapore,5612300
Finland,5516224
Slovakia,5441899
Norway,5290288
Republic of the Congo,5260750
Eritrea,5068831
Costa Rica,4947490
New Zealand,4857410
Palestine,4816503
Ireland,4792500
Central African Republic,4659080
Oman,4639678
Liberia,4289520
Croatia,4154213
Kuwait,4132415
Panama,4098135
Mauritania,3806719
Georgia,3718200
Moldova,3550900
Bosnia and Herzegovina,3511372
Uruguay,3493205
Puerto Rico,3411307
Mongolia,3196175
Armenia,2979600
Albania,2876591
Lithuania,2807495
Jamaica,2730894
Qatar,2634234
Namibia,2368747
Lesotho,2233339
Botswana,2230905
The Gambia,2101000
Macedonia,2073702
Slovenia,2065895
Gabon,2025137
Latvia,1929900
Kosovo,1783531
Guinea-Bissau,1553822
Bahrain,1451200
Trinidad and Tobago,1356633
Estonia,1352320
Mauritius,1263820
Equatorial Guinea,1222442
East Timor,1167242
Swaziland,1145970
Djibouti,956985
Fiji,884887
Cyprus,854800
Comoros,806153
Bhutan,796820
Guyana,777859
Solomon Islands,651700
Macau,648500
Montenegro,622387
Luxembourg,590667
Western Sahara,552628
Suriname,541638
Cape Verde,537661
Transnistria,475665
Malta,434403
Brunei,417200
Belize,380010
Bahamas,382460
Iceland,348580
Maldives,344023
Northern Cyprus,313626
Vanuatu,289700
Barbados,285719
New Caledonia,277000
French Polynesia,275918
Abkhazia,240705
Samoa,196315
S?o Tom‚ and Pr¡ncipe,187356
Saint Lucia,178844
Guam,184200
Cura‡ao,160337
Artsakh,150932
Kiribati,115300
Aruba,110882
Saint Vincent and the Grenadines,109557
United States Virgin Islands,104901
Federated States of Micronesia,104600
Jersey,104200
Grenada,103328
Tonga,100600
Seychelles,94205
Antigua and Barbuda,86295
Isle of Man,83314
Andorra,78264
Dominica,71293
Guernsey,62723
Bermuda,61954
Cayman Islands,60413
American Samoa,56400
Greenland,56171
Northern Mariana Islands,55700
Marshall Islands,55000
South Ossetia,53532
Faroe Islands,50437
Saint Kitts and Nevis,46204
Sint Maarten,39410
Turks and Caicos Islands,37910
Liechtenstein,37877
Monaco,37550
Saint-Martin,36457
San Marino,33290
Gibraltar,33140
British Virgin Islands,28514
Cook Islands,18100
Palau,17800
Anguilla,13452
Wallis and Futuna,11800
Nauru,10800
Tuvalu,10100
Saint Barth‚lemy,9417
Saint Pierre and Miquelon,6286
"Saint Helena, Ascension and Tristan da Cunha",5633
Montserrat,4922
Falkland Islands,2563
Norfolk Island,2302
Christmas Island,2072
Niue,1470
Tokelau,1411
Vatican City,800
Cocos,550
Pitcairn Islands,50
Somaliland,3500000
Kosovo,1824000
